fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD002,patchtst,asym,50,0.0005,"patch10,stride5,d_model128,layers3,revinTrue",42,14.089,17.476,1834.0,220.2
FD002,patchtst,mse,50,0.0005,"patch10,stride5,d_model128,layers3,revinFalse",7,13.184,13.936,755.9,167.7
FD002,patchtst,asym,50,0.0005,"patch10,stride5,d_model128,layers3,revinFalse",7,13.233,14.435,750.9,185.9
FD003,cnn,asym,30,0.0005,"ch32,k3,poolavg,p0.2",7,15.312,20.626,1759.5,18.4
FD003,cnn,mse,50,0.0005,"ch32,k3,poolavg,p0.3",7,18.167,24.932,4301.7,15.4
FD003,cnn,mse,30,0.0005,"ch32,k3,poolmax,p0.2",7,16.975,21.481,2010.0,12.6
FD003,cnn,asym,50,0.0005,"ch32,k3,poolmax,p0.2",7,24.529,26.257,4831.7,15.2
FD003,cnn,asym,30,0.0005,"ch32,k3,poolmax,p0.3",7,16.622,20.508,1482.0,12.8
FD003,cnn,mse,50,0.0005,"ch32,k5,poolavg,p0.2",7,17.478,22.8,3255.8,25.1
FD003,cnn,mse,30,0.0005,"ch32,k5,poolavg,p0.3",7,13.707,20.075,1303.2,46.3
FD003,cnn,asym,50,0.0005,"ch32,k5,poolavg,p0.3",7,16.691,23.195,1907.3,23.6
FD003,cnn,asym,30,0.0005,"ch32,k5,poolmax,p0.2",7,13.296,16.129,779.0,44.0
FD003,cnn,mse,50,0.0005,"ch32,k5,poolmax,p0.3",7,13.211,16.911,852.0,49.2
FD003,cnn,mse,30,0.0005,"ch32,k7,poolavg,p0.2",7,13.357,14.883,483.2,21.7
FD003,cnn,asym,50,0.0005,"ch32,k7,poolavg,p0.2",7,14.844,17.822,752.3,19.0
FD003,cnn,asym,30,0.0005,"ch32,k7,poolavg,p0.3",7,13.177,13.663,300.9,21.7
FD003,cnn,mse,50,0.0005,"ch32,k7,poolmax,p0.2",7,13.772,18.086,1152.0,18.4
FD003,cnn,mse,30,0.0005,"ch32,k7,poolmax,p0.3",7,13.475,16.743,869.6,22.1
FD003,cnn,asym,50,0.0005,"ch32,k7,poolmax,p0.3",7,14.604,18.741,788.3,14.2
FD003,cnn,asym,30,0.0005,"ch64,k3,poolavg,p0.2",7,15.078,21.368,2153.0,12.9
FD003,cnn,mse,50,0.0005,"ch64,k3,poolavg,p0.3",7,17.897,24.103,2990.6,11.2
FD003,cnn,mse,30,0.0005,"ch64,k3,poolmax,p0.2",7,17.532,22.792,3084.6,15.0
FD003,cnn,asym,50,0.0005,"ch64,k3,poolmax,p0.2",7,23.282,26.324,2936.1,17.1
FD003,cnn,asym,30,0.0005,"ch64,k3,poolmax,p0.3",7,17.213,21.822,2015.6,13.2
FD003,cnn,mse,50,0.0005,"ch64,k5,poolavg,p0.2",7,13.876,18.127,1021.3,14.2
FD003,cnn,mse,30,0.0005,"ch64,k5,poolavg,p0.3",7,14.172,19.624,1246.7,11.4
FD003,cnn,asym,50,0.0005,"ch64,k5,poolavg,p0.3",7,13.292,16.984,708.1,20.1
FD003,cnn,asym,30,0.0005,"ch64,k5,poolmax,p0.2",7,12.845,16.933,943.5,18.2
FD003,cnn,mse,50,0.0005,"ch64,k5,poolmax,p0.3",7,14.747,17.97,1335.7,18.9
FD003,cnn,mse,30,0.0005,"ch64,k7,poolavg,p0.2",7,14.365,17.652,752.1,15.7
FD003,cnn,asym,50,0.0005,"ch64,k7,poolavg,p0.2",7,13.259,15.017,368.3,20.9
FD003,cnn,asym,30,0.0005,"ch64,k7,poolavg,p0.3",7,12.822,15.706,392.7,19.9
FD003,cnn,mse,50,0.0005,"ch64,k7,poolmax,p0.2",7,13.289,16.022,815.6,19.6
