fd,model,loss,window,lr,hp,test_rmse,test_rmse_std,nasa,val_rmse,n
FD001,bilstm,mse,30,0.0,"hid96,layers2,p0.2",13.263,0.458,255.8,13.246,2
FD001,bilstm,mse,30,0.001,"hid96,layers2,p0.2",13.263,0.465,307.45,13.206,2
FD001,gru,mse,30,0.001,"hid96,layers2,p0.3",13.288,0.066,308.0,12.424,2
FD001,bilstm,mse,30,0.0,"hid128,layers1,p0.2",13.295,0.214,293.2,13.398,2
FD001,lstm,mse,30,0.001,"hid64,layers3,p0.3",13.306,0.046,309.15,13.029,2
FD001,lstm,asym,30,0.0,"hid128,layers2,p0.3",13.312,0.005,275.45,13.082,2
FD001,gru,mse,30,0.0,"hid96,layers2,p0.2",13.316,0.106,303.0,12.51,2
FD001,lstm,asym,30,0.001,"hid160,layers1,p0.2",13.32,0.122,274.6,12.908,2
FD001,lstm,asym,30,0.0,"hid96,layers3,p0.2",13.326,0.091,336.85,13.283,2
FD001,bilstm,asym,30,0.001,"hid128,layers1,p0.2",13.33,0.713,303.85,13.043,2
FD001,lstm,asym,30,0.001,"hid64,layers3,p0.3",13.343,0.059,327.0,12.875,2
FD001,lstm,mse,30,0.0,"hid128,layers3,p0.3",13.343,0.917,305.3,12.802,2
FD001,bilstm,asym,30,0.0,"hid64,layers1,p0.3",13.346,0.185,266.15,13.0,2
FD001,lstm,mse,30,0.001,"hid128,layers1,p0.3",13.349,0.712,300.1,12.914,2
FD001,bilstm,mse,30,0.0,"hid96,layers1,p0.2",13.35,0.021,286.05,13.52,2
FD001,bilstm,asym,30,0.0,"hid128,layers1,p0.2",13.354,0.136,307.9,13.19,2
FD001,bilstm,mse,30,0.001,"hid64,layers1,p0.2",13.356,0.078,285.7,13.369,2
FD001,gru,asym,30,0.001,"hid128,layers3,p0.2",13.356,0.195,318.7,12.642,2
FD001,bilstm,mse,30,0.001,"hid128,layers1,p0.2",13.361,,268.1,13.057,1
FD001,gru,asym,30,0.0,"hid96,layers2,p0.3",13.362,0.175,299.35,12.626,2
FD001,gru,mse,30,0.001,"hid96,layers3,p0.3",13.364,0.008,283.2,12.501,2
FD001,bilstm,mse,30,0.001,"hid64,layers2,p0.3",13.366,1.203,293.25,13.441,2
FD001,bilstm,mse,30,0.0,"hid128,layers2,p0.3",13.376,0.314,305.75,13.148,2
FD001,bilstm,asym,30,0.001,"hid64,layers2,p0.2",13.38,0.941,294.85,12.997,2
FD001,lstm,asym,30,0.001,"hid96,layers1,p0.3",13.383,0.737,340.15,12.973,2
FD001,gru,asym,30,0.0,"hid128,layers3,p0.3",13.388,0.013,328.6,12.57,2
FD001,lstm,mse,30,0.0,"hid160,layers1,p0.2",13.388,0.372,306.35,13.224,2
FD001,gru,asym,30,0.0,"hid128,layers2,p0.3",13.39,0.023,297.25,12.623,2
FD001,lstm,mse,30,0.0,"hid128,layers2,p0.3",13.391,0.682,342.6,13.486,2
FD001,gru,asym,30,0.0,"hid128,layers2,p0.2",13.398,0.035,303.95,12.424,2
FD001,gru,asym,50,0.001,"hid96,layers2,p0.2",13.401,0.355,287.45,10.599,2
FD001,lstm,mse,30,0.0,"hid64,layers2,p0.2",13.401,0.801,353.65,13.728,2
FD001,gru,mse,50,0.001,"hid96,layers3,p0.3",13.404,0.225,284.5,10.857,2
FD001,gru,asym,30,0.001,"hid64,layers3,p0.2",13.407,0.177,307.4,12.499,2
FD001,gru,mse,30,0.001,"hid96,layers2,p0.2",13.408,0.433,348.05,12.418,2
FD001,gru,asym,30,0.0,"hid96,layers2,p0.2",13.41,0.224,311.55,12.492,2
FD001,bilstm,asym,30,0.0,"hid64,layers2,p0.2",13.412,1.36,322.45,13.697,2
FD001,bilstm,asym,30,0.001,"hid96,layers1,p0.2",13.414,0.163,298.4,12.984,2
FD001,gru,asym,30,0.001,"hid128,layers2,p0.3",13.416,0.034,327.75,12.54,2
FD001,lstm,mse,30,0.0,"hid160,layers2,p0.2",13.419,0.163,328.65,13.004,2
FD001,gru,asym,30,0.0,"hid64,layers1,p0.2",13.421,0.229,281.75,12.938,2
FD001,gru,asym,30,0.001,"hid96,layers2,p0.2",13.421,0.341,317.85,12.407,2
FD001,gru,asym,30,0.0,"hid96,layers1,p0.3",13.422,0.524,303.1,12.771,2
FD001,gru,mse,30,0.0,"hid128,layers2,p0.3",13.424,0.12,296.8,12.424,2
FD001,lstm,mse,30,0.0,"hid96,layers3,p0.2",13.428,0.622,291.3,13.114,2
FD001,bilstm,asym,30,0.0,"hid64,layers1,p0.2",13.431,0.132,295.4,13.128,2
FD001,gru,mse,30,0.0,"hid128,layers2,p0.2",13.436,0.237,295.25,12.438,2
FD001,lstm,mse,30,0.0,"hid160,layers2,p0.3",13.438,0.21,335.0,13.072,2
FD001,bilstm,mse,30,0.0,"hid128,layers2,p0.2",13.444,0.097,317.7,13.462,2
FD001,gru,asym,30,0.001,"hid128,layers1,p0.3",13.445,0.243,303.45,13.042,2
FD001,bilstm,asym,30,0.0,"hid128,layers2,p0.3",13.448,0.316,296.7,13.135,2
FD001,gru,mse,30,0.001,"hid128,layers2,p0.3",13.451,0.055,289.95,12.651,2
FD001,bilstm,mse,30,0.0,"hid64,layers1,p0.3",13.454,0.317,280.4,13.311,2
FD001,lstm,asym,30,0.001,"hid160,layers2,p0.2",13.458,1.023,284.1,12.888,2
FD001,gru,mse,30,0.001,"hid96,layers3,p0.2",13.464,0.083,306.6,12.44,2
FD001,gru,asym,50,0.001,"hid96,layers3,p0.3",13.466,0.096,286.55,10.9,2
FD001,gru,asym,30,0.001,"hid128,layers1,p0.2",13.474,0.439,328.6,12.688,2
FD001,lstm,asym,50,0.001,"hid96,layers2,p0.3",13.475,0.42,264.5,10.867,2
FD001,lstm,mse,30,0.0,"hid64,layers3,p0.2",13.476,0.485,313.8,13.456,2
FD001,lstm,asym,30,0.0,"hid64,layers3,p0.2",13.492,0.519,319.15,13.318,2
FD001,lstm,asym,30,0.0,"hid128,layers2,p0.2",13.495,0.53,329.25,13.328,2
FD001,lstm,asym,50,0.0,"hid160,layers3,p0.2",13.502,0.188,282.8,11.22,2
FD001,lstm,mse,30,0.0,"hid128,layers1,p0.3",13.502,0.046,367.95,13.334,2
FD001,gru,asym,30,0.0,"hid96,layers3,p0.2",13.504,0.36,298.5,12.625,2
FD001,gru,mse,30,0.0,"hid96,layers2,p0.3",13.51,0.17,338.9,12.664,2
FD001,lstm,asym,30,0.0,"hid160,layers3,p0.3",13.51,0.633,323.1,13.09,2
FD001,gru,mse,30,0.001,"hid64,layers3,p0.2",13.522,0.363,296.45,12.622,2
FD001,lstm,mse,30,0.001,"hid96,layers1,p0.3",13.523,0.43,328.05,12.811,2
FD001,lstm,mse,30,0.0,"hid160,layers3,p0.3",13.524,0.162,304.85,13.23,2
FD001,lstm,asym,30,0.001,"hid128,layers2,p0.2",13.529,0.168,338.85,13.009,2
FD001,gru,mse,50,0.0,"hid128,layers3,p0.2",13.532,0.099,290.15,10.75,2
FD001,gru,mse,30,0.0,"hid64,layers3,p0.2",13.537,0.369,333.6,12.854,2
FD001,lstm,mse,30,0.0,"hid128,layers2,p0.2",13.544,0.271,344.85,13.202,2
FD001,bilstm,mse,30,0.001,"hid128,layers1,p0.3",13.546,0.133,303.75,13.02,2
FD001,cnnlstm,asym,50,0.0,"ch32,hid128,p0.2",13.548,0.426,292.05,13.791,2
FD001,lstm,mse,30,0.001,"hid160,layers1,p0.2",13.553,0.201,336.05,12.828,2
FD001,gru,asym,30,0.0,"hid128,layers3,p0.2",13.56,0.016,334.45,12.473,2
FD001,gru,asym,50,0.0,"hid64,layers1,p0.3",13.564,0.635,279.25,10.751,2
FD001,gru,mse,30,0.001,"hid128,layers2,p0.2",13.564,0.098,357.85,12.438,2
FD001,lstm,asym,30,0.001,"hid64,layers2,p0.3",13.566,0.493,365.6,13.169,2
FD001,lstm,mse,50,0.001,"hid96,layers2,p0.2",13.567,0.165,315.45,10.68,2
FD001,gru,mse,30,0.001,"hid64,layers1,p0.2",13.568,0.135,317.3,12.872,2
FD001,lstm,mse,50,0.0,"hid160,layers2,p0.2",13.57,0.631,294.7,11.42,2
FD001,gru,asym,30,0.001,"hid96,layers2,p0.3",13.573,0.966,315.55,12.394,2
FD001,gru,mse,50,0.0,"hid64,layers2,p0.2",13.578,0.118,290.15,10.899,2
FD001,bilstm,asym,30,0.001,"hid96,layers2,p0.3",13.579,0.458,290.3,12.967,2
FD001,gru,asym,30,0.0,"hid64,layers2,p0.3",13.58,0.096,344.05,12.752,2
FD001,gru,mse,30,0.001,"hid128,layers3,p0.2",13.584,0.624,287.7,12.596,2
FD001,lstm,asym,30,0.0,"hid64,layers3,p0.3",13.584,0.795,331.85,13.26,2
FD001,lstm,asym,30,0.001,"hid64,layers3,p0.2",13.585,0.109,304.1,12.76,2
FD001,bilstm,mse,30,0.001,"hid64,layers2,p0.2",13.59,0.426,344.5,13.588,2
FD001,gru,asym,30,0.0,"hid96,layers3,p0.3",13.593,0.372,291.6,12.706,2
FD001,lstm,mse,50,0.001,"hid128,layers2,p0.3",13.599,0.116,308.35,10.78,2
FD001,gru,asym,50,0.001,"hid128,layers3,p0.3",13.601,0.112,295.1,10.936,2
FD001,bilstm,mse,30,0.0,"hid64,layers1,p0.2",13.605,0.071,330.1,13.416,2
FD001,gru,asym,30,0.0,"hid64,layers3,p0.2",13.608,0.378,350.7,12.788,2
FD001,lstm,mse,30,0.001,"hid96,layers1,p0.2",13.61,0.547,348.55,13.0,2
FD001,lstm,mse,30,0.0,"hid128,layers1,p0.2",13.612,0.196,371.85,13.208,2
FD001,lstm,mse,30,0.0,"hid160,layers1,p0.3",13.614,0.093,328.85,13.386,2
FD001,gru,mse,50,0.001,"hid64,layers3,p0.2",13.624,0.46,298.05,10.887,2
FD001,gru,asym,30,0.001,"hid96,layers1,p0.2",13.628,0.334,312.7,12.816,2
FD001,gru,asym,50,0.001,"hid128,layers1,p0.2",13.641,0.38,310.85,10.596,2
FD001,bilstm,mse,30,0.0,"hid96,layers1,p0.3",13.642,0.881,340.0,13.439,2
FD001,gru,asym,50,0.001,"hid96,layers1,p0.3",13.642,0.199,309.45,10.872,2
FD001,cnnlstm,asym,50,0.0,"ch32,hid128,p0.3",13.643,0.451,304.6,13.192,2
FD001,lstm,mse,50,0.001,"hid128,layers2,p0.2",13.646,0.444,303.95,10.953,2
